#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:37:23       0     79     28      0      0      0      0 
 21:37:24       0     83     35      0      0      0      0 
 21:37:25       0     82     32      0      0      0      0 
 21:37:26       0     88     54      0      0      0      0 
 21:37:27       0     82     33      0      0      0      0 
 21:37:28       0     80     30      0      0      0      0 
 21:37:29       0     83     31      0      0      0      0 
 21:37:30       0     83     35      0      0      0      0 
 21:37:31       0     82     34      0      0      0      0 
 21:37:32       0     82     32      0      0      0      0 
 21:37:33       0     81     34      0      0      0      0 
 21:37:34       0     94     62      0      0      0      0 
 21:37:35       0     82     34      0      0      0      0 
 21:37:36       0    100     71      0      0      0      0 
 21:37:37       0     79     30      0      0      0      0 
 21:37:38       0     82     34      0      0      0      0 
 21:37:39       0     84     35      0      0      0      0 
 21:37:40       0     84     35      0      0      0      0 
 21:37:41       0     82     33      0      0      0      0 
 21:37:42       0     82     34      0      0      0      0 
 21:37:43       0     81     33      0      0      0      0 
 21:37:44       0     94     61      0      0      0      0 
 21:37:45       0     81     31      0      0      0      0 
 21:37:46       0     83     35      0      0      0      0 
 21:37:47       0     96     66      0      0      0      0 
 21:37:48       0     83     34      0      0      0      0 
 21:37:49       0     82     34      0      0      0      0 
 21:37:50       0     82     33      0      0      0      0 
 21:37:51       0     84     35      0      0      0      0 
 21:37:52       0     82     34      0      0      0      0 
 21:37:53       0     84     35      0      0      0      0 
 21:37:54       0     79     30      0      0      0      0 
 21:37:55       0     81     34      0      0      0      0 
 21:37:56       0     83     34      0      0      0      0 
 21:37:57       0     82     34      0      0      0      0 
 21:37:58       0     91     54      0      0      0      0 
 21:37:59       0     83     34      0      0      0      0 
 21:38:00       0     83     35      0      0      0      0 
 21:38:01       0     83     33      0      0      0      0 
 21:38:02       0     84     35      0      0      0      0 
 21:38:03       0     82     34      0      0      0      0 
 21:38:04       0     84     34      0      0      0      0 
 21:38:05       0     81     32      0      0      0      0 
 21:38:06       0     84     35      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:38:07       0     81     33      0      0      0      0 
 21:38:08       0     84     35      0      0      0      0 
 21:38:09       0     83     34      0      0      0      0 
 21:38:10       0     82     33      0      0      0      0 
 21:38:11       0     80     28      0      0      0      0 
 21:38:12       0     77     29      0      0      0      0 
 21:38:13       0     77     29      0      0      0      0 
 21:38:14       0     78     32      0      0      0      0 
 21:38:15       0     83     33      0      0      0      0 
 21:38:16       0     79     33      0      0      0      0 
 21:38:17       0     79     30      0      0      0      0 
 21:38:18       0     80     33      0      0      0      0 
 21:38:19       0     82     33      0      0      0      0 
 21:38:20       0     83     34      0      0      0      0 
 21:38:21       0     83     34      0      0      0      0 
 21:38:22       0     82     33      0      0      0      0 
 21:38:23       0     84     35      0      0      0      0 
 21:38:24       0     85     35      0      0      0      0 
