#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:15:24       0     97     61      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:15:25       0     80     31      0      0      0      0 
 22:15:26       0     90     52      0      0      0      0 
 22:15:27       0     75     28      0      0      0      0 
 22:15:28       0     68     26      0      0      0      0 
 22:15:29       0     83     34      0      0      0      0 
 22:15:30       0     75     28      0      0      0      0 
 22:15:31       0    100     64      0      0      0      0 
 22:15:32       0     72     26      0      0      0      0 
 22:15:33       0     79     30      0      0      0      0 
 22:15:34       0     73     26      0      0      0      0 
 22:15:35       0     78     30      0      0      0      0 
 22:15:36       0     79     30      0      0      0      0 
 22:15:37       0     76     28      0      0      0      0 
 22:15:38       0     72     26      0      0      0      0 
 22:15:39       0     69     25      0      0      0      0 
 22:15:40       0     76     28      0      0      0      0 
 22:15:41       0     79     30      0      0      0      0 
 22:15:42       0     86     46      0      0      0      0 
 22:15:43       0     81     32      0      0      0      0 
 22:15:44       0     81     30      0      0      0      0 
 22:15:45       0     78     30      0      0      0      0 
 22:15:46       0     82     33      0      0      0      0 
 22:15:47       0     78     29      0      0      0      0 
 22:15:48       0     74     28      0      0      0      0 
 22:15:49       0     76     30      0      0      0      0 
 22:15:50       0     79     31      0      0      0      0 
 22:15:51       0     84     34      0      0      0      0 
 22:15:52       0     80     30      0      0      0      0 
 22:15:53       0     81     31      0      0      0      0 
 22:15:54       0     95     57      0      0      0      0 
 22:15:55       0     88     46      0      0      0      0 
 22:15:56       0     87     50      0      0      0      0 
 22:15:57       0     79     31      0      0      0      0 
 22:15:58       0     74     27      0      0      0      0 
 22:15:59       0     89     51      0      0      0      0 
 22:16:00       0     78     30      0      0      0      0 
 22:16:01       0     84     36      0      0      0      0 
 22:16:02       0     79     32      0      0      0      0 
 22:16:03       0     74     28      0      0      0      0 
 22:16:04       0     83     45      0      0      0      0 
 22:16:05       0     82     33      0      0      0      0 
 22:16:06       0     83     33      0      0      0      0 
 22:16:07       0     84     35      0      0      0      0 
 22:16:08       0     76     30      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:16:09       0     78     31      0      0      0      0 
 22:16:10       0     85     35      0      0      0      0 
 22:16:11       0     82     31      0      0      0      0 
 22:16:12       0     78     31      0      0      0      0 
 22:16:13       0     85     35      0      0      0      0 
 22:16:14       0     82     32      0      0      0      0 
 22:16:15       0     81     32      0      0      0      0 
 22:16:16       0     80     31      0      0      0      0 
 22:16:17       0     85     35      0      0      0      0 
 22:16:18       0     84     34      0      0      0      0 
 22:16:19       0     82     33      0      0      0      0 
 22:16:20       0     90     45      0      0      0      0 
 22:16:21       0     93     56      0      0      0      0 
 22:16:22       0     83     33      0      0      0      0 
 22:16:23       0     86     36      0      0      0      0 
 22:16:24       0     85     36      0      0      0      0 
 22:16:25       0     78     29      0      0      0      0 
 22:16:26       0     82     33      0      0      0      0 
 22:16:27       0     81     32      0      0      0      0 
 22:16:28       0     85     34      0      0      0      0 
 22:16:29       0     76     28      0      0      0      0 
 22:16:30       0     79     30      0      0      0      0 
 22:16:31       0     84     35      0      0      0      0 
 22:16:32       0     83     34      0      0      0      0 
 22:16:33       0     79     30      0      0      0      0 
 22:16:34       0     83     32      0      0      0      0 
 22:16:35       0     84     34      0      0      0      0 
 22:16:36       0     95     55      0      0      0      0 
 22:16:37       0     83     34      0      0      0      0 
 22:16:38       0     83     33      0      0      0      0 
 22:16:39       0     85     34      0      0      0      0 
 22:16:40       0     80     32      0      0      0      0 
 22:16:41       0     90     48      0      0      0      0 
 22:16:42       0     82     34      0      0      0      0 
 22:16:43       0     81     32      0      0      0      0 
 22:16:44       0     79     32      0      0      0      0 
 22:16:45       0     82     35      0      0      0      0 
 22:16:46       0     79     32      0      0      0      0 
 22:16:47       0     75     28      0      0      0      0 
 22:16:48       0     81     30      0      0      0      0 
 22:16:49       0     82     32      0      0      0      0 
 22:16:50       0     81     32      0      0      0      0 
 22:16:51       0     82     35      0      0      0      0 
 22:16:52       0     92     55      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:16:53       0     84     32      0      0      0      0 
 22:16:54       0     85     34      0      0      0      0 
 22:16:55       0     83     34      0      0      0      0 
 22:16:56       0     84     36      0      0      0      0 
 22:16:57       0     81     32      0      0      0      0 
 22:16:58       0     93     57      0      0      0      0 
 22:16:59       0     85     36      0      0      0      0 
 22:17:00       0     79     31      0      0      0      0 
 22:17:01       0     81     31      0      0      0      0 
 22:17:02       0     75     29      0      0      0      0 
 22:17:03       0     87     38      0      0      0      0 
 22:17:04       0     85     37      0      0      0      0 
 22:17:05       0     86     37      0      0      0      0 
 22:17:06       0     82     33      0      0      0      0 
 22:17:07       0     81     33      0      0      0      0 
 22:17:08       0    100     63      0      0      0      0 
 22:17:09       0     95     57      0      0      0      0 
 22:17:10       0     84     35      0      0      0      0 
 22:17:11       0     78     29      0      0      0      0 
 22:17:12       0     82     31      0      0      0      0 
 22:17:13       0     75     28      0      0      0      0 
 22:17:14       0     84     34      0      0      0      0 
 22:17:15       0     84     35      0      0      0      0 
 22:17:16       0     81     33      0      0      0      0 
 22:17:17       0     79     29      0      0      0      0 
 22:17:18       0     80     33      0      0      0      0 
 22:17:19       0     76     28      0      0      0      0 
 22:17:20       0     79     31      0      0      0      0 
 22:17:21       0     81     32      0      0      0      0 
 22:17:22       0     77     29      0      0      0      0 
 22:17:23       0     78     30      0      0      0      0 
 22:17:24       0     94     53      0      0      0      0 
 22:17:25       0     85     34      0      0      0      0 
 22:17:26       0     90     51      0      0      0      0 
 22:17:27       0     78     31      0      0      0      0 
 22:17:28       0     92     51      0      0      0      0 
 22:17:29       0     84     35      0      0      0      0 
 22:17:30       0     84     33      0      0      0      0 
 22:17:31       0     82     32      0      0      0      0 
 22:17:32       0     80     31      0      0      0      0 
 22:17:33       0     82     32      0      0      0      0 
 22:17:34       0     82     33      0      0      0      0 
 22:17:35       0     85     37      0      0      0      0 
 22:17:36       0     83     34      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:17:37       0     85     35      0      0      0      0 
 22:17:38       0     84     37      0      0      0      0 
 22:17:39       0     87     39      0      0      0      0 
 22:17:40       0     87     46      0      0      0      0 
 22:17:41       0     85     37      0      0      0      0 
 22:17:42       0     80     33      0      0      0      0 
 22:17:43       0     79     33      0      0      0      0 
 22:17:44       0     91     54      0      0      0      0 
 22:17:46       0     85     36      0      0      0      0 
 22:17:47       0     85     35      0      0      0      0 
 22:17:48       0     81     33      0      0      0      0 
 22:17:49       0     81     32      0      0      0      0 
 22:17:50       0     82     33      0      0      0      0 
 22:17:51       0     81     33      0      0      0      0 
 22:17:52       0     86     36      0      0      0      0 
 22:17:53       0     80     33      0      0      0      0 
 22:17:54       0     88     39      0      0      0      0 
 22:17:55       0     82     32      0      0      0      0 
 22:17:56       0     79     32      0      0      0      0 
 22:17:57       0     83     34      0      0      0      0 
 22:17:58       0     83     43      0      0      0      0 
 22:17:59       0     87     37      0      0      0      0 
 22:18:00       0     80     30      0      0      0      0 
 22:18:01       0     88     39      0      0      0      0 
 22:18:02       0     89     38      0      0      0      0 
 22:18:03       0     85     36      0      0      0      0 
 22:18:04       0     84     37      0      0      0      0 
 22:18:05       0     75     28      0      0      0      0 
 22:18:06       0     90     49      0      0      0      0 
 22:18:07       0     78     29      0      0      0      0 
 22:18:08       0     76     29      0      0      0      0 
 22:18:09       0     81     32      0      0      0      0 
 22:18:10       0     80     32      0      0      0      0 
 22:18:11       0     81     34      0      0      0      0 
 22:18:12       0     77     30      0      0      0      0 
 22:18:13       0     77     29      0      0      0      0 
 22:18:14       0     81     32      0      0      0      0 
 22:18:15       0     87     35      0      0      0      0 
 22:18:16       0     94     53      0      0      0      0 
 22:18:17       0     99     63      0      0      0      0 
 22:18:18       0     94     54      0      0      0      0 
 22:18:19       0     79     29      0      0      0      0 
 22:18:20       0     79     31      0      0      0      0 
 22:18:21       0     75     29      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:18:22       0     77     30      0      0      0      0 
 22:18:23       0     77     30      0      0      0      0 
 22:18:24       0     73     27      0      0      0      0 
 22:18:25       0     77     30      0      0      0      0 
 22:18:26       0     84     34      0      0      0      0 
 22:18:27       0     85     35      0      0      0      0 
 22:18:28       0     83     35      0      0      0      0 
 22:18:29       0     76     29      0      0      0      0 
 22:18:30       0     80     32      0      0      0      0 
 22:18:31       0     80     34      0      0      0      0 
 22:18:32       0     90     48      0      0      0      0 
 22:18:33       0     84     45      0      0      0      0 
 22:18:34       0     82     35      0      0      0      0 
 22:18:35       0     79     30      0      0      0      0 
 22:18:36       0     86     37      0      0      0      0 
 22:18:37       0     85     36      0      0      0      0 
 22:18:38       0     85     37      0      0      0      0 
 22:18:39       0     78     31      0      0      0      0 
